App_level,Book_Level,Quest_Name,Quiz_ID,Quiz_Name,Vocab,English_Meaning,Vietnamese_Meaning,Word_Type,Photo,Component
Beginner,HSK 1,Going out and meet,QZ-HSK1-QT03-02,Food and Drinks,汤,Soup,Canh,Noun,,氵 (water) + 昜 (sun shining)
Beginner,HSK 1,Going out and meet,QZ-HSK1-QT03-02,Food and Drinks,包子,Steamed bun,Bánh bao,Noun,,"包 = 勹 (wrap) + 巳 (baby)
 子 = child"
Beginner,HSK 1,Going out and meet,QZ-HSK1-QT03-03,Buying Things,奶茶,Milk tea,Trà sữa,Noun,,"奶 = 女 (woman) + ㇎ (N/A) + 丿 (bend)
茶 = 艹 (grass) + 人 (human) + 十 (ten) + 小 (small)"
Beginner,HSK 1,Going out and meet,QZ-HSK1-QT03-03,Buying Things,杯,cup; glass,Cốc / Ly,Measure word,,杯 = 木 (wood) + 不
Beginner,HSK 1,Going out and meet,QZ-HSK1-QT03-03,Buying Things,多少,How much,Bao nhiêu tiền,Pronoun,,"多 = 夕 (evening) + 夕
 少 = small with hook"
Beginner,HSK 1,Going out and meet,QZ-HSK1-QT03-03,Buying Things,几,How many,Bao nhiêu (đếm được),Measure word,,土 (earth) + 夬 (decisive)
Beginner,HSK 1,Going out and meet,QZ-HSK1-QT03-03,Buying Things,十,Ten,Mười,Number,,A single vertical and horizontal stroke (cross)
Beginner,HSK 1,Going out and meet,QZ-HSK1-QT03-03,Buying Things,两,two,Hai,Number,,两 = 一 (one) + 从 (N/A) + 冂 (upside down box)
Beginner,HSK 1,Going out and meet,QZ-HSK1-QT03-03,Buying Things,蛋糕,Cake,Bánh ngọt,Noun,,"蛋 = 虫 (insect) + 旦 (sun rising)
 糕 = 米 (rice) + 羔 (lamb)"
Beginner,HSK 1,Going out and meet,QZ-HSK1-QT03-04,Shopping at the Market,千克,kilogram,Kilôgam,Measure,,"千克 (kilogram)=千 (thousand)+克 (gram)
千 (thousand)=丿 (slash)+十 (ten)
克 (gram)=古 (ancient)+儿 (legs radical)
古 (ancient)=十 (ten)+口 (mouth)"
Beginner,HSK 1,Going out and meet,QZ-HSK1-QT03-04,Shopping at the Market,三,Three,Ba,Number,,三 = 一 (one) + 二 (two)
Beginner,HSK 1,Going out and meet,QZ-HSK1-QT03-04,Shopping at the Market,五,five,Năm,Number,,"五 (five)=二 (two)+三 (three)
二 (two)=一 (one)+一 (one)
三 (three)=一 (one)+一 (one)+一 (one)"
Beginner,HSK 1,Going out and meet,QZ-HSK1-QT03-04,Shopping at the Market,怎么,How,Như thế nào,Pronoun,,"怎 = 心 (heart) + 乍 (sudden)
 么 = simplified of 麽 (small)"
Beginner,HSK 1,Going out and meet,QZ-HSK1-QT03-04,Shopping at the Market,十三,thirteen,Mười ba,Number,,"十三 (thirteen)=十 (ten)+三 (three)
十 (ten)=一 (one)+丨 (line)
三 (three)=一 (one)+一 (one)+一 (one)"
Beginner,HSK 1,Going out and meet,QZ-HSK1-QT03-05,Drinking coffee at a coffee shop,喂,Hello (on phone),A lô,Interjection,,口 (mouth) + 畏 (fear)
Beginner,HSK 1,Going out and meet,QZ-HSK1-QT03-05,Drinking coffee at a coffee shop,在,At,Ở / Tại,Verb,,土 (earth) + 才 (just)
Beginner,HSK 1,Going out and meet,QZ-HSK1-QT03-05,Drinking coffee at a coffee shop,干,To do,Làm,Verb,,A simplified pictograph (varies by context)
Beginner,HSK 1,Going out and meet,QZ-HSK1-QT03-05,Drinking coffee at a coffee shop,每天,Every day,Mỗi ngày,Time word,,"每 = 母 (mother) + 人
 天 = sky/day"
Beginner,HSK 1,Going out and meet,QZ-HSK1-QT03-05,Drinking coffee at a coffee shop,咖啡,Coffee,Cà phê,Noun,,咖 = 口 (mouth) + 加 (add); 啡 = 口 (mouth) + 非 (not) – both for sound
Beginner,HSK 1,Going out and meet,QZ-HSK1-QT03-05,Drinking coffee at a coffee shop,店,Shop,Cửa hàng,Noun,,广 (shelter) + 占 (occupy)
Beginner,HSK 1,Going out and meet,QZ-HSK1-QT03-06,Sunday plans,中心,center,Trung tâm,Noun,,"购 = 贝 (money) + 勾 (hook)
物 = 牛 (cow) + 勿 (not)
 "
Beginner,HSK 1,Going out and meet,QZ-HSK1-QT03-06,Sunday plans,购物,Shopping,Mua sắm,Noun,,"中 = center
心 = heart"
Beginner,HSK 1,Going out and meet,QZ-HSK1-QT03-06,Sunday plans,那儿,There / here,Ở đó / Ở đây,Pronoun,,"那 = 邑 (city) + 那
 儿 = child"
Beginner,HSK 1,Going out and meet,QZ-HSK1-QT03-06,Sunday plans,还可以,Not bad / OK,Không tệ / Ổn,Phrase,,"还 = walk + not
 可 = mouth + nail
 以 = person + slash"
Beginner,HSK 1,Going out and meet,QZ-HSK1-QT03-06,Sunday plans,质量,Quality,Chất lượng,Noun,,质 = 贝 (money) + 斤 (axe); 量 = 日 (sun) + 里 (distance)
Beginner,HSK 1,Going out and meet,QZ-HSK1-QT03-06,Sunday plans,正,currently,Hiện tại,Adjective,,一 (one) + 止 (stop) – proper
Beginner,HSK 1,Going out and meet,QZ-HSK1-QT03-06,Sunday plans,衣服,Clothes,Quần áo,Noun,,"衣 = clothing
 服 = 月 (flesh) + 卩 (seal)"
Beginner,HSK 1,Going out and meet,QZ-HSK1-QT03-06,Sunday plans,我们,We / Us,Chúng tôi / Chúng ta,Pronoun,,"我 = 手 (hand) + 戈 (spear)
 们 = 亻 (person) + 门 (door)"
Beginner,HSK 1,Going out and meet,QZ-HSK1-QT03-07,Where is the staff?,请问,May I ask,Xin hỏi,Phrase,,"请 = 讠(speech) + 青 (green)
 问 = 门 (door) + 口 (mouth)"
Beginner,HSK 1,Going out and meet,QZ-HSK1-QT03-07,Where is the staff?,办公室,Office,Văn phòng,Noun,,办 = 司 (command) + 办; 公 = 公 (public); 室 = 宿 (room) without 子
Beginner,HSK 1,Going out and meet,QZ-HSK1-QT03-07,Where is the staff?,找,To look for,Tìm kiếm,Verb,,手 (hand) + 另 (another)
Beginner,HSK 1,Going out and meet,QZ-HSK1-QT03-07,Where is the staff?,住,lodge; accommodate,Lưu trú / Ở trọ,Verb,,住 = 亻 (human) + 王 (jade) + 丶 (dot)
Beginner,HSK 1,Going out and meet,QZ-HSK1-QT03-07,Where is the staff?,十八,eighteen,Mười tám,Number,,"十 = 十 (ten)
八 = 八 (eight/divide)"
Beginner,HSK 1,Going out and meet,QZ-HSK1-QT03-07,Where is the staff?,楼,Building / floor,Tòa nhà / Tầng,Noun,,木 (wood) + 娄 (building radical)
Beginner,HSK 1,Going out and meet,QZ-HSK1-QT03-08,Study and Review,最近,Recently,Gần đây,Adverb,,"最 = 曰 (say) + 耳 (ear) + 又 (right hand)
近 = 辶 (walk) + 斤 (axe)"
Beginner,HSK 1,Going out and meet,QZ-HSK1-QT03-08,Study and Review,还好,not bad; passable,Tạm được,Adjective,,"还 = 辶 (walk) + 一 (one) + 丿 (bend) + 卜 (divination)
好 = 女 (woman) + 子 (child)"
Beginner,HSK 1,Going out and meet,QZ-HSK1-QT03-08,Study and Review,男朋友,Boy friend,Bạn trai,Noun,,"男朋友 (boyfriend)=男 (male)+朋友 (friend)
男 (male)=田 (field)+力 (strength)
朋友 (friend)=朋 (companion)+友 (friend)
朋 (companion)=月 (moon)+月 (moon)
友 (friend)=又 (right hand)+𠂇 (person)"
Beginner,HSK 1,Going out and meet,QZ-HSK1-QT03-08,Study and Review,异地,Long-distance,Yêu xa,Adjective,,"异地 (long-distance)=异 (different)+地 (place)
异 (different)=巳 (sixth earthly branch)+廾 (two hands)
地 (place)=土 (earth)+也 (also)"
Beginner,HSK 1,Going out and meet,QZ-HSK1-QT03-08,Study and Review,关系,Relationship,Mối quan hệ,Noun,,"关系 (relationship)=关 (close/connect)+系 (system/tie)
关 (close/connect)=门 (gate)+天 (sky)
系 (system/tie)=糸 (silk)+丿 (slash)+乂 (cut/cross)"
Beginner,HSK 1,Going out and meet,QZ-HSK1-QT03-09,Where did you meet,女朋友,Girlfriend,Bạn gái,Noun,,"女 = 女 (woman)
朋 = 朋 (N/A)
友 = 𠂇 (left hand) + 又 (right hand)"
Beginner,HSK 1,Going out and meet,QZ-HSK1-QT03-09,Where did you meet,女,Girl,Cô gái,Noun,," 女 = 女 (woman)
"
Beginner,HSK 1,Going out and meet,QZ-HSK1-QT03-09,Where did you meet,时候,Time / moment,Thời gian / Khoảnh khắc,Noun,,"时 = 日 (sun) + 寸 (inch)
 候 = 亻 (person) + 侯 (wait)"
Beginner,HSK 1,Going out and meet,QZ-HSK1-QT03-09,Where did you meet,年,Year,Năm,Noun,,Derived from 禾 (grain) + person holding → harvest cycle
Beginner,HSK 1,Going out and meet,QZ-HSK1-QT03-09,Where did you meet,月,Month / Moon,Tháng / Mặt trăng,Noun,,月 = pictograph of moon
Beginner,HSK 1,Going out and meet,QZ-HSK1-QT03-09,Where did you meet,邻居,Neighbor,Hàng xóm,Noun,,"邻 = 邑 (city) + 令 (order)
 居 = 尸 (roof) + 古 (old)"
Beginner,HSK 1,Going out and meet,QZ-HSK1-QT03-10,Customs Inspection ,一些,Some,Một số,Determiner,,"一 = one
 些 = 此 (this) + 二 (two)"
Beginner,HSK 1,Going out and meet,QZ-HSK1-QT03-10,Customs Inspection ,中药,herbal medicine,Thuốc đông y,Noun,,"中 = 口 (mouth) +丨 (line)
药 = 艹 (grass) + 纟 (silk) + 勹 (wrap) + 丶 (dot)"
Beginner,HSK 1,Going out and meet,QZ-HSK1-QT03-10,Customs Inspection ,箱子,chest; box; case; trunk; suitcase,Hòm / Hộp / Va li,Noun,,"箱 = ⺮ (bamboo) + 木 (tree) + 目 (eye)
子 = 子 (child)"
Beginner,HSK 1,Going out and meet,QZ-HSK1-QT03-10,Customs Inspection ,里,Inside,Bên trong,Noun,,田 (field) + 土 (earth) – something enclosed
Beginner,HSK 1,Going out and meet,QZ-HSK1-QT03-10,Customs Inspection ,日用品,Daily use items,Đồ dùng hằng ngày,Noun,,"日 = 日 (sun/day)
用 = 用 (use)
品 = 品 (N/A)"
Beginner,HSK 1,Daily Routines and Movement,QZ-HSK1-QT04-01,What will we do?,天气,Weather,Thời tiết,Noun,,天 = sky; 气 = steam or air
Beginner,HSK 1,Daily Routines and Movement,QZ-HSK1-QT04-01,What will we do?,昨天,Yesterday,Hôm qua,Noun,,昨 = 日 (sun) + 乍 (suddenly); 天 = sky
Beginner,HSK 1,Daily Routines and Movement,QZ-HSK1-QT04-01,What will we do?,热,Hot,Nóng,Adjective,,灬 (fire) + 执 (hold) → intense heat
Beginner,HSK 1,Daily Routines and Movement,QZ-HSK1-QT04-01,What will we do?,看书,To read a book,Đọc sách,Verb,,"看 = 手 (hand) + 目 (eye)
 书 = simplified of 書 (brush + writing)"
Beginner,HSK 1,Daily Routines and Movement,QZ-HSK1-QT04-01,What will we do?,空调,air conditioner,Máy điều hòa,Noun,,"空 = 穴 (cave) + 工 (work)
调 = 讠 (speech) + 田 (field) + 口 (mouth)"
Beginner,HSK 1,Daily Routines and Movement,QZ-HSK1-QT04-01,What will we do?,凉快,cool,Mát,Adjective,,"凉 = 冫 (ice) + 亠 (lid) + 口 (mouth) + 小 (small)
快 = 忄 (heart) + No glyph available + 丨 (line) + 人 (human)"
Beginner,HSK 1,Daily Routines and Movement,QZ-HSK1-QT04-01,What will we do?,公园,park,Công viên,Noun,,"公 =  八 (eight/divide) + 厶 (private)
园 = 囗 (enclosure) + 二 (two) + 儿 (legs)"
Beginner,HSK 1,Daily Routines and Movement,QZ-HSK1-QT04-01,What will we do?,散步,take a walk,Đi dạo,Separable verbs,,"散 = 艹 (grass) + 一 (one) + 月 (moon) + ⺙ (knock)
步 = 止 (stop) + 小 (small) + 丿 (bend)"
Beginner,HSK 1,Daily Routines and Movement,QZ-HSK1-QT04-01,What will we do?,适合,suitable to do sth,Phù hợp để làm gì,Verb,,"适 = 辶 (walk) + 舌 (tongue)
合 = 人 (human) + 一 (one) + 口 (mouth)"
Beginner,HSK 1,Daily Routines and Movement,QZ-HSK1-QT04-02,He is cooking,大卫,David (name),David,Noun,,"大 = 大 (big)
卫 = ㇆ (N/A) + 丨 (line) + 一 (one)"
Beginner,HSK 1,Daily Routines and Movement,QZ-HSK1-QT04-02,He is cooking,厨房,kitchen,Nhà bếp,Noun,,"厨 = 厂 (cliff) + 豆 (bean) + 寸 (thumb)
房 = 户 (door/house) + 方 (square/raft)"
Beginner,HSK 1,Daily Routines and Movement,QZ-HSK1-QT04-02,He is cooking,菜,Dish / Cuisine,Món ăn / Ẩm thực,Noun,,艹 (grass) + 采 (pick)
Beginner,HSK 1,Daily Routines and Movement,QZ-HSK1-QT04-02,He is cooking,真的吗？,really,Thật sự,Adverb,,"真 = 十 (ten) + 目 (eye) + 一 (one) + 八 (eight/divide)
的 = 白 (white) + 勹 (wrap) + 丶 (dot)"
Beginner,HSK 1,Daily Routines and Movement,QZ-HSK1-QT04-02,He is cooking,宫保鸡丁,Kung Pao,Cung Bảo (món ăn),Noun,,
Beginner,HSK 1,Daily Routines and Movement,QZ-HSK1-QT04-03,Exchange money,下午,Afternoon,Buổi chiều,Noun,,"下 = down
 午 = axe (symbol of time)"
Beginner,HSK 1,Daily Routines and Movement,QZ-HSK1-QT04-03,Exchange money,换,To exchange,Trao đổi,Verb,,扌 (hand) + 奂 (exchange component)
Beginner,HSK 1,Daily Routines and Movement,QZ-HSK1-QT04-03,Exchange money,人民币,RMB (Chinese Yuan),Nhân dân tệ,Noun,,"人 = person
 民 = roof + spoon
 币 = cloth/simplified 貝 (money)"
Beginner,HSK 1,Daily Routines and Movement,QZ-HSK1-QT04-03,Exchange money,货币,Currency,Tiền tệ,Number,,"货币 (currency)=货 (goods)+币 (money)
货 (goods)=化 (transform)+贝 (shell/money)
化 (transform)=亻 (person)+匕 (spoon)
币 (money)=巾 (cloth)+丿 (slash)"
Beginner,HSK 1,Daily Routines and Movement,QZ-HSK1-QT04-03,Exchange money,美金,US Dollar,Đô la Mỹ,Noun,,美 = 羊 (sheep) + 大 (big); 金 = metal/gold
Beginner,HSK 1,Daily Routines and Movement,QZ-HSK1-QT04-04,Cycling Fun,骑,To ride,Đi (xe),Verb,,马 (horse) + 奇 (strange)
Beginner,HSK 1,Daily Routines and Movement,QZ-HSK1-QT04-04,Cycling Fun,自行车,Bicycle,Xe đạp,Noun,,"自 = nose/self
 行 = crossroad
 车 = cart"
Beginner,HSK 1,Daily Routines and Movement,QZ-HSK1-QT04-04,Cycling Fun,身体,Body/Health,Sức khỏe,Noun,,"身 = oneself
 体 = 人 (person) + 本 (origin)"
Beginner,HSK 1,Daily Routines and Movement,QZ-HSK1-QT04-04,Cycling Fun,锻炼,To exercise,Tập thể dục,Verb,,锻 = metal + near; 炼 = fire + east
Beginner,HSK 1,Daily Routines and Movement,QZ-HSK1-QT04-04,Cycling Fun,下次,next time,Lần sau,Noun,,"下 = 一 (one) + 卜 (divination)
次 = 冫 (ice) + 欠 (yawn)"
Beginner,HSK 1,Daily Routines and Movement,QZ-HSK1-QT04-05,Where are you learning Chinese,语言,Language,Ngôn ngữ,Noun,,语 = 言 (speech); 言 = speech again (emphasis)
Beginner,HSK 1,Daily Routines and Movement,QZ-HSK1-QT04-05,Where are you learning Chinese,大学,University,Đại học,Noun,,大 = big; 学 = roof + child + 学 radical
Beginner,HSK 1,Daily Routines and Movement,QZ-HSK1-QT04-05,Where are you learning Chinese,你们,You,Bạn,Pronoun,,"你 = 亻 + 尔 (you)
 们 = 亻 + 门 (door)"
Beginner,HSK 1,Daily Routines and Movement,QZ-HSK1-QT04-05,Where are you learning Chinese,听,To listen,Nghe,Verb,,耳 (ear) + 王 (king) + 心 (heart)
Beginner,HSK 1,Daily Routines and Movement,QZ-HSK1-QT04-05,Where are you learning Chinese,容易,Easy,Dễ,Adjective,,容 = roof + container; 易 = sun + stroke (easy)
Beginner,HSK 1,Daily Routines and Movement,QZ-HSK1-QT04-05,Where are you learning Chinese,但,But,Nhưng,Conjunction,,但 = 什 (what) + one
Beginner,HSK 1,Daily Routines and Movement,QZ-HSK1-QT04-05,Where are you learning Chinese,读,To read,Đọc,Verb,,言 (speech) + 读 (phonetic)
Beginner,HSK 1,Daily Routines and Movement,QZ-HSK1-QT04-05,Where are you learning Chinese,写,To write,Viết,Verb,,宀 (roof) + 与 (give) – hand giving words under a roof
Beginner,HSK 1,Daily Routines and Movement,QZ-HSK1-QT04-06,This or that,李老师,Teacher Li,Cô / Thầy Lý,Noun,,"李 = 木 (tree) + 子 (child)
老 = 耂 (old) + 匕 (spoon)
 师 = 巾 (cloth) + 帀 (command)"
Beginner,HSK 1,Daily Routines and Movement,QZ-HSK1-QT04-06,This or that,欢迎,Welcome,Chào mừng,Verb,,欢 = joy radical; 迎 = walk + meet
Beginner,HSK 1,Daily Routines and Movement,QZ-HSK1-QT04-06,This or that,忙,Busy,Bận,Adjective,,心 (heart) + 忙 (phonetic)
Beginner,HSK 1,Daily Routines and Movement,QZ-HSK1-QT04-06,This or that,刚,Just (now),Vừa rồi,Adverb,,"刚 = two hands clashing (strong, recent)"
Beginner,HSK 1,Daily Routines and Movement,QZ-HSK1-QT04-06,This or that,开学,Start school,Bắt đầu học,Verb,,开 = 门 (door) + 一 (open); 学 = cover + child + 爻 (lines)
Beginner,HSK 1,Daily Routines and Movement,QZ-HSK1-QT04-06,This or that,了吗,Have you?,Bạn đã… chưa?,Question particle,,"了 = ㇇ (N/A) + 亅 (hook)
吗 = 口 (mouth) + 马 (horse)"
Beginner,HSK 1,Daily Routines and Movement,QZ-HSK1-QT04-07,How many people in your family,全家,Whole family,Cả gia đình,Noun,,全 = 入 (enter) + 王 (king); 家 = 宀 (roof) + 豕 (pig)
Beginner,HSK 1,Daily Routines and Movement,QZ-HSK1-QT04-07,How many people in your family,看,To watch / To see,Xem,Verb,,手 (hand) above 目 (eye) → hand shading eyes to look
Beginner,HSK 1,Daily Routines and Movement,QZ-HSK1-QT04-07,How many people in your family,年轻,Young,Trẻ,Adjective,,年 = 干 (dry) + 一; 轻 = 车 (car) + 圣 (holy)
Beginner,HSK 1,Daily Routines and Movement,QZ-HSK1-QT04-07,How many people in your family,他们,they; them,Họ / Bọn họ,Pronoun,,"他 = 亻 (human) + 乚 (second) + ㇆ (N/A) + 丨 (line)
们 = 亻 (human) + 门 (gate)"
Beginner,HSK 1,Daily Routines and Movement,QZ-HSK1-QT04-07,How many people in your family,律师,Lawyer,Luật sư,Noun,,律 = 彳 (step) + 聿 (brush); 师 = 幺 (tiny) + 帀
Beginner,HSK 1,Daily Routines and Movement,QZ-HSK1-QT04-08,Meeting an Old Friend,老朋友,old friend,Bạn cũ,Noun,,"老 = 老 (old)
朋 = 朋 (N/A)"
Beginner,HSK 1,Daily Routines and Movement,QZ-HSK1-QT04-08,Meeting an Old Friend,遇到,Encounter,Gặp gỡ,Verb,,"遇 = 辶 (walk) + 冂 (upside down box) + 二 (two) + 丨 (line) + 禸 (track)
到 = 至 (arrive) + 刂 (knife)
"
Beginner,HSK 1,Daily Routines and Movement,QZ-HSK1-QT04-08,Meeting an Old Friend,一定,surely,Chắc chắn,Adverb,,"一 = 一 (one)
定 = 宀 (roof) + 一 (one) + 龰 (N/A)"
Beginner,HSK 1,Daily Routines and Movement,QZ-HSK1-QT04-08,Meeting an Old Friend,惊喜,pleasantly surprised,Ngạc nhiên vui mừng,Adjective,,"惊 = 忄 (heart) + 亠 (lid) + 口 (mouth) + 小 (small)
喜 = 士 (scholar) + 口 (mouth) + 丷 (eight/divide) + 一 (one) + 口 (mouth)"
Beginner,HSK 1,Daily Routines and Movement,QZ-HSK1-QT04-08,Meeting an Old Friend,聊,gab; chat,Tán gẫu,Verb,,聊 = 耳 (ear) 卯 (N/A)
Beginner,HSK 1,Daily Routines and Movement,QZ-HSK1-QT04-08,Meeting an Old Friend,谈到,speak of (about),Nói về,Verb,,"谈 = 讠 (speech) + 炎 (N/A)
到 = 至 (arrive) + 刂 (knife)
"
Beginner,HSK 1,Daily Routines and Movement,QZ-HSK1-QT04-09,Buying things,食堂,Canteen,Căn tin,Noun,,"食 = eat
 堂 = 尚 (still) + 土 (earth)"
Beginner,HSK 1,Daily Routines and Movement,QZ-HSK1-QT04-09,Buying things,然后,Then,Sau đó,Conjunction,,"然 = 肰 (meat) + 灬 (fire)
 后 = 厂 (cliff) + 口 (mouth) + 一"
Beginner,HSK 1,Daily Routines and Movement,QZ-HSK1-QT04-09,Buying things,商店,Store,Cửa hàng,Noun,,"商 = 立 (stand) + 冏 (bright)
 店 = 广 (shelter) + 占 (occupy)"
Beginner,HSK 1,Daily Routines and Movement,QZ-HSK1-QT04-09,Buying things,杯子,Cup,Cốc,Noun,,"杯 = 木 (wood) + 不
 子 = child"
Beginner,HSK 1,Daily Routines and Movement,QZ-HSK1-QT04-09,Buying things,借,To borrow,Mượn,Verb,,亻 (person) + 昔 (past)
Beginner,HSK 1,Daily Routines and Movement,QZ-HSK1-QT04-10,Meeting a New Friend,岁,Years old,Tuổi,Noun,,山 (mountain) + evening + small components
Beginner,HSK 1,Daily Routines and Movement,QZ-HSK1-QT04-10,Meeting a New Friend,几岁,how old,Bao nhiêu tuổi,Asking age,,"几 = 几 (table)
岁 = 山 (mountain) + 夕 (evening/unset)"
Beginner,HSK 1,Daily Routines and Movement,QZ-HSK1-QT04-10,Meeting a New Friend,三十,thirty,Ba mươi,Noun,,"三十 (thirty)=三 (three)+十 (ten)
三 (three)=一 (one)+一 (one)+一 (one)
十 (ten)=一 (one)+丨 (line)"
Beginner,HSK 1,Daily Routines and Movement,QZ-HSK1-QT04-10,Meeting a New Friend,女儿,Daughter,Con gái,Noun,,"女 = woman
 儿 = child"
Beginner,HSK 1,Daily Routines and Movement,QZ-HSK1-QT04-10,Meeting a New Friend,错,Wrong / Mistake,Sai / Lỗi,Adjective,,钅 (metal) + 昔 (past) – “wrong metal”
Beginner,HSK 1,Daily Routines and Movement,QZ-HSK1-QT04-10,Meeting a New Friend,多大,how old,Bao nhiêu tuổi,Asking age,,"多 =  多 (N/A)
大 = 大 (big)"
Beginner,HSK 1,Daily Routines and Movement,QZ-HSK1-QT04-10,Meeting a New Friend,应该,should; ought to,Nên,Verb,,"应 = 广 (house on cliff) + ⺍ (small) + 一 (one)
该 = 讠 (speech) + 亠 (lid) + 丨 (line) + ㇙ (N/A) + 人 (human)"
Beginner,HSK 1,Interaction with people,QZ-HSK1-QT05A-01,The coffee music is next to my dorm,是的,Yes (to confirm),Vâng / Đúng,Adverb,,"是 = 日 (sun/day) + 一 (one) + 龰 (N/A)
的 = 白 (white) + 勹 (wrap) + 丶 (dot)"
Beginner,HSK 1,Interaction with people,QZ-HSK1-QT05A-01,The coffee music is next to my dorm,附近,Nearby,Gần đây,Noun,,"附 = 阝 (place) + 付
 近 = 辶 (walk) + 斤"
Beginner,HSK 1,Interaction with people,QZ-HSK1-QT05A-01,The coffee music is next to my dorm,音乐,Music,Âm nhạc,Noun,,"音 = 音 (sound) + 一
 乐 = 丿 + 木 + 丶 (originally instrument/joy)"
Beginner,HSK 1,Interaction with people,QZ-HSK1-QT05A-01,The coffee music is next to my dorm,自己,Oneself,Bản thân,Pronoun,,"自 = nose/self
 己 = self"
Beginner,HSK 1,Interaction with people,QZ-HSK1-QT05A-01,The coffee music is next to my dorm,就,Just,Chỉ / Vừa mới,Adverb,,尤 (especially) + 京 (capital)
Beginner,HSK 1,Interaction with people,QZ-HSK1-QT05A-01,The coffee music is next to my dorm,韩国,Korea,Hàn Quốc,Noun,,"韩 = 音 (sound) + 干 (dry)
 国 = 囗 (enclosure) + 玉/王 (jade/king)"
Beginner,HSK 1,Interaction with people,QZ-HSK1-QT05A-02,Asking Directions,教学楼,Teaching building,Tòa nhà giảng dạy,Noun,,"教 = 孝 (filial) + 攵 (strike)
 学 = ⺍ + 冖 + 子
 楼 = 木 + 娄 (tower)"
Beginner,HSK 1,Interaction with people,QZ-HSK1-QT05A-02,Asking Directions,北边,North side,Phía bắc,Noun,,"北 = two people back-to-back
 边 = 辶 (walk) + 力 (strength)"
Beginner,HSK 1,Interaction with people,QZ-HSK1-QT05A-02,Asking Directions,左边,Right side,Bên phải,Noun,,"右 = 口 (mouth) + 又 (hand)
 边 = see above"
Beginner,HSK 1,Interaction with people,QZ-HSK1-QT05A-02,Asking Directions,绿豆,Mung bean,Đậu xanh,Noun,,"绿 = 纟 (silk) + 彔 (carve)
 豆 = bean (pictograph)"
Beginner,HSK 1,Interaction with people,QZ-HSK1-QT05A-02,Asking Directions,粥,Porridge,Cháo,Verb,,粥 = 弜 (N/A) + 米 (rice)
Beginner,HSK 1,Interaction with people,QZ-HSK1-QT05A-02,Asking Directions,可乐,Cola,Coca Cola,Noun,,"可 = mouth + nail
 乐 = joy/music"
Beginner,HSK 1,Interaction with people,QZ-HSK1-QT05A-02,Asking Directions,油条,Fried dough stick,Bánh quẩy,Noun,,"油 = 氵 (water) + 由 (from)
 条 = see above"
Beginner,HSK 1,Interaction with people,QZ-HSK1-QT05A-03,Checking the Time,李文,Li Wen (name),Lý Văn,Proper Noun,,"李 = 木 (tree) + 子 (child)
 文 = writing"
Beginner,HSK 1,Interaction with people,QZ-HSK1-QT05A-03,Checking the Time,差,to be short of,Thiếu,Verb/Adjective,,羊 (sheep) + 工 (work)
Beginner,HSK 1,Interaction with people,QZ-HSK1-QT05A-03,Checking the Time,刻,Quarter (time),Một phần tư (giờ),Noun,,刂 (knife) + 害 (harm/danger)
Beginner,HSK 1,Interaction with people,QZ-HSK1-QT05A-03,Checking the Time,哎呀,expressing suprise or amazement,#N/A,,,"哎 = 口 (mouth) + 艹 (grass) + 乂 (N/A)
呀 = 口 (mouth) + 牙 (fang)"
Beginner,HSK 1,Interaction with people,QZ-HSK1-QT05A-03,Checking the Time,学院,academy; institute,Học viện,Noun,,"学 = ⺍ (small) + 冖 (cover) + 子 (child)
院 = 阝 (town) + 宀 (roof) + 二 (two) + 儿 (legs)"
Beginner,HSK 1,Interaction with people,QZ-HSK1-QT05A-04,Talking about Cars,上班,To go to work,Đi làm,Verb,,上 = above; 班 = 王 (jade) + 分 (divide)
Beginner,HSK 1,Interaction with people,QZ-HSK1-QT05A-04,Talking about Cars,展,Show,Trình diễn,Noun,,展 = 尸 (meaning) + 㞢 (sound)
Beginner,HSK 1,Interaction with people,QZ-HSK1-QT05A-04,Talking about Cars,车,Car,Xe hơi,Noun,,Pictograph of a cart with wheels
Beginner,HSK 1,Interaction with people,QZ-HSK1-QT05A-04,Talking about Cars,辆,Measure word for vehicles,Chiếc (xe),Measure Word,,车 (vehicle) + 两 (two)
Beginner,HSK 1,Interaction with people,QZ-HSK1-QT05A-04,Talking about Cars,红色,Red color,Màu đỏ,Noun,,红 = 纟(silk) + 工 (work); 色 = form of desire
Beginner,HSK 1,Interaction with people,QZ-HSK1-QT05A-04,Talking about Cars,新,New,Mới,Adjective,,新 = 立 (stand erect) + 十 (ten) + 小 (small) + 斤 (axe)
Beginner,HSK 1,Interaction with people,QZ-HSK1-QT05A-04,Talking about Cars,旧,Old,Cũ,Adjective,,旧 = 丨 (line) + 日 (sun/day)
Beginner,HSK 1,Interaction with people,QZ-HSK1-QT05A-04,Talking about Cars,楼下,downstairs,Tầng dưới,Noun,,"楼 = 木 (tree) + 米 (rice) + 女 (woman)
下 = 一 (one) + 卜 (divination)"
Beginner,HSK 1,Interaction with people,QZ-HSK1-QT05A-05,How is your health,注意,pay attention to,Chú ý,Verb,,"注 = 氵 (water) + 王 (jade) + 丶 (dot)
意 = 音 (sound) + 心 (heart)"
Beginner,HSK 1,Interaction with people,QZ-HSK1-QT05A-05,How is your health,些,Some / Few,Một ít,Measure Word,,二 (two) + 止 (stop) + 小 (small)
